district,name,party
1,Matt Gaetz,Republican
2,Neal Dunn,Republican
3,Ted Yoho,Republican
4,John Rutherford,Republican
5,Al Lawson,Democrat
6,Ron DeSantis,Republican
7,Stephanie Murphy,Democrat
8,Bill Posey,Republican
9,Darren Soto,Democrat
10,Val Demings,Democrat
11,Daniel Webster,Republican
12,Gus Bilirakis,Republican
13,Charlie Crist,Democrat
14,Kathy Castor,Democrat
15,Dennis Ross,Republican
16,Vern Buchanan,Republican
17,Thomas Rooney,Republican
18,Brian Mast,Republican
19,Francis Rooney,Republican
20,Alcee Hastings,Democrat
21,Lois Frankel,Democrat
22,Theodore Deutch,Democrat
23,Debbie Wasserman Schultz,Democrat
24,Frederica Wilson,Democrat
25,Mario Diaz-Balart,Republican
26,Carlos Curbelo,Republican
27,Ileana Ros-Lehtinen,Republican