district,representative,TRUE,mostly true,half true,mostly false,FALSE,pants on fire
1,Matt Gaetz,0,1,1,0,1,0
2,Neal Dunn,,,,,,
3,Ted Yoho,1,0,0,1,1,0
4,John Rutherford,,,,,,
5,Al Lawson,,,,,,
6,Ron DeSantis,1,1,0,0,0,0
7,Stephanie Murphy,,,,,,
8,Bill Posey,0,1,1,0,0,0
9,Darren Soto,,,,,,
10,Val Demings,0,0,0,1,0,0
11,Daniel Webster,0,1,0,0,0,0
12,Gus Bilirakis,0,1,0,1,1,0
13,Charlie Crist,15,19,20,15,9,2
14,Kathy Castor,1,0,1,0,0,0
15,Dennis Ross,1,0,0,0,0,0
16,Vern Buchanan,2,0,1,1,1,0
17,Thomas Rooney,,,,,,
18,Brian Mast,,,,,,
19,Francis Rooney,,,,,,
20,Alcee Hastings,0,0,1,1,0,2
21,Lois Frankel,0,0,0,2,0,1
22,Theodore Deutch,,,,,,
23,Debbie Wasserman Schultz,5,15,8,7,9,3
24,Frederica Wilson,1,1,1,1,0,0
25,Mario Diaz-Balart,1,1,0,0,1,0
26,Carlos Curbelo,1,1,0,0,1,0
27,Ileana Ros-Lehtinen,1,0,1,0,0,0